bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,rank of buggy function among functions executed by failing tcs (Binary),# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,rank of buggy function among functions executed by failing tcs (GP13),# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,rank of buggy function among functions executed by failing tcs (Jaccard),# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish1),# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish2),# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,rank of buggy function among functions executed by failing tcs (Ochiai),# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,rank of buggy function among functions executed by failing tcs (Russel+Rao),# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function,rank of buggy function among functions executed by failing tcs (Wong1)
rho.MUT704.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#sacTRInv8x8(const float (*)[8] L, float (*)[8] M)#2563",595,72,1,72,1,72,53,2.0,53,2.0,53,53,1.0,53,1.0,53,53,156,53,156,53,53,1.0,53,1.0,53,53,1.0,53,1.0,53,72,0.0063694267515923,72,0.0063694267515923,72,72,1,72,1,72
rho.MUT595.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#sacCalcJacobianErrors(const float * H, const float * src, const float * dst, const char * inl, unsigned int N, float (*)[8] JtJ, float * Jte, float * Sp)#2282",595,72,1,72,1,72,53,2.0,53,2.0,53,53,1.0,53,1.0,53,53,156,53,156,53,53,1.0,53,1.0,53,53,1.0,53,1.0,53,72,0.0063694267515923,72,0.0063694267515923,72,72,1,72,1,72
stereobm.MUT302.cpp,"opencv_calib3d/modules/calib3d/src/stereobm.cpp#findStereoCorrespondenceBM_SIMD(const class cv::Mat & left, const class cv::Mat & right, class cv::Mat & disp, class cv::Mat & cost, const struct cv::StereoBMParams & state, int _dy0, int _dy1, const class cv::BufferBM & bufX, size_t bufNum)#620",595,18,1,18,1,18,7,2.0,7,2.0,7,7,1.0,7,1.0,7,7,155,7,155,7,7,1.0,7,1.0,7,7,1.0,7,1.0,7,18,0.0064102564102564,18,0.0064102564102564,18,18,1,18,1,18
calibration.MUT603.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvFindExtrinsicCameraParams2(const CvMat * objectPoints, const CvMat * imagePoints, const CvMat * A, const CvMat * distCoeffs, CvMat * rvec, CvMat * tvec, int useExtrinsicGuess)#1265",595,6,1,6,1,6,2,7.0,2,7.0,2,2,1.0,2,1.0,2,2,152,2,152,2,2,6.0,2,6.0,2,2,1.0,2,1.0,2,6,0.0379746835443038,6,0.0379746835443038,6,6,6,6,6,6
calibration.MUT221.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvProjectPoints2Internal(const CvMat * objectPoints, const CvMat * r_vec, const CvMat * t_vec, const CvMat * A, const CvMat * distCoeffs, CvMat * imagePoints, CvMat * dpdr, CvMat * dpdt, CvMat * dpdf, CvMat * dpdc, CvMat * dpdk, CvMat * dpdo, double aspectRatio)#597",595,3,1,3,1,3,2,6.0,2,6.0,2,2,1.0,2,1.0,2,2,153,2,153,2,2,5.0,2,5.0,2,2,1.0,2,1.0,2,3,0.0316455696202531,3,0.0316455696202531,3,3,5,3,5,3
calibration.MUT969.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvCalibrateCamera2Internal(const CvMat * objectPoints, const CvMat * imagePoints, const CvMat * npoints, CvSize imageSize, int iFixedPoint, CvMat * cameraMatrix, CvMat * distCoeffs, CvMat * rvecs, CvMat * tvecs, CvMat * newObjPoints, CvMat * stdDevs, CvMat * perViewErrors, int flags, CvTermCriteria termCrit)#1904",595,19,1,19,1,19,2,3.0,2,3.0,2,2,1.0,2,1.0,2,2,154,2,154,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,19,0.0128205128205128,19,0.0128205128205128,19,19,2,19,2,19
stereobm.MUT10.cpp,"opencv_calib3d/modules/calib3d/src/stereobm.cpp#StereoBMParams::StereoBMParams(int _numDisparities, int _SADWindowSize)#71",595,17,1,17,1,17,17,2.0,17,2.0,17,17,1.0,17,1.0,17,17,153,17,153,17,17,1.0,17,1.0,17,17,1.0,17,1.0,17,17,0.0064935064935064,17,0.0064935064935064,17,17,1,17,1,17
solvepnp.MUT389.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#solvePnPGeneric(cv::InputArray _opoints, cv::InputArray _ipoints, cv::InputArray _cameraMatrix, cv::InputArray _distCoeffs, cv::OutputArrayOfArrays _rvecs, cv::OutputArrayOfArrays _tvecs, _Bool useExtrinsicGuess, enum cv::SolvePnPMethod flags, cv::InputArray _rvec, cv::InputArray _tvec, cv::OutputArray reprojectionError)#1059",595,75,1,75,1,75,54,2.0,54,2.0,54,54,1.0,54,1.0,54,54,141,54,141,54,54,1.0,54,1.0,54,54,1.0,54,1.0,54,75,0.0070422535211267,75,0.0070422535211267,75,75,1,75,1,75
fundam.MUT250.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#run7Point(const class cv::Mat & _m1, const class cv::Mat & _m2, class cv::Mat & _fmatrix)#602",595,19,1,19,1,19,7,2.0,7,2.0,7,7,1.0,7,1.0,7,7,156,7,156,7,7,1.0,7,1.0,7,7,1.0,7,1.0,7,19,0.0063694267515923,19,0.0063694267515923,19,19,1,19,1,19
levmarq.MUT31.cpp,opencv_calib3d/modules/calib3d/src/levmarq.cpp#LMSolverImpl::run(cv::InputOutputArray _param0)#134,595,2,1,2,1,2,2,5.0,2,5.0,2,2,1.0,2,1.0,2,2,135,2,135,2,2,4.0,2,4.0,2,2,1.0,2,1.0,2,2,0.0287769784172661,2,0.0287769784172661,2,2,4,2,4,2
sqpnp.MUT127.cpp,opencv_calib3d/modules/calib3d/src/sqpnp.cpp#PoseSolver::solveInternal(cv::InputArray objectPoints)#292,595,86,1,86,1,86,11,2.0,11,2.0,11,11,1.0,11,1.0,11,11,155,11,155,11,11,1.0,11,1.0,11,11,1.0,11,1.0,11,86,0.0064102564102564,86,0.0064102564102564,86,86,1,86,1,86
rho.MUT461.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#hFuncRefC(float * packedPoints, float * H)#1962",595,63,1,63,1,63,47,3.0,47,3.0,47,47,1.0,47,1.0,47,47,156,47,156,47,47,2.0,47,2.0,47,47,1.0,47,1.0,47,63,0.0126582278481012,63,0.0126582278481012,63,63,2,63,2,63
fundam.MUT455.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#convertPointsFromHomogeneous(cv::InputArray _src, cv::OutputArray _dst)#1030",595,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,147,3,147,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0067567567567567,3,0.0067567567567567,3,3,1,3,1,3
ippe.MUT73.cpp,"opencv_calib3d/modules/calib3d/src/ippe.cpp#PoseSolver::solveSquare(cv::InputArray _objectPoints, cv::InputArray _imagePoints, cv::OutputArray _rvec1, cv::OutputArray _tvec1, float & err1, cv::OutputArray _rvec2, cv::OutputArray _tvec2, float & err2)#226",595,66,1,66,1,66,4,4.0,4,4.0,4,4,1.0,4,1.0,4,4,154,4,154,4,4,3.0,4,3.0,4,4,1.0,4,1.0,4,66,0.019108280254777,66,0.019108280254777,66,66,3,66,3,66
