bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
padding_layer.MUT19.cpp,"opencv_dnn/modules/dnn/src/layers/padding_layer.cpp#PaddingLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays )#82",1,505,792,228,20,0,20,82752,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
gather_elements_layer.MUT16.cpp,"opencv_dnn/modules/dnn/src/layers/gather_elements_layer.cpp#GatherElementsLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#54",2,986,998,417,20,0,20,115573,16,1094,1,1.0,1,1.0,1,0.0448179271708683,1,0.0448179271708683
tf_importer.MUT958.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseMean(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#2418",4,1726,1335,359,20,8,12,92387,4,1094,1,0.7071067811865475,1,0.7071067811865475,1,0.0615384615384615,1,0.0615384615384615
caffe_importer.MUT196.cpp,"opencv_dnn/modules/dnn/src/caffe/caffe_importer.cpp#readNetFromCaffe(const char * bufferProto, size_t lenProto, const char * bufferModel, size_t lenModel)#583",1,55,488,115,18,0,18,197002,1,1094,1,1.0,1,1.0,1,0.0263157894736842,1,0.0263157894736842
onnx_importer.MUT1364.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQuantDequant(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3351",1,1491,1009,372,20,11,9,116096,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
onnx_importer.MUT1200.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseDepthToSpace(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto_)#2991",6,1092,1058,424,14,6,8,122502,12,1094,1,0.1504709587726557,1094,0.0,1,0.0906015837323642,1094,0.0
tf_importer.MUT1013.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseMean(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#2510",1,1447,1143,377,20,5,15,103588,2,1094,1,1.0,1,1.0,1,0.0416666666666666,1,0.0416666666666666
elementwise_layers.MUT294.cpp,opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#ThresholdedReluFunctor::calculate(float x)#2201,3,1043,1085,423,20,6,14,166006,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
pooling_layer.MUT323.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1054,7,2726,1179,347,20,0,20,121367,8,1094,1,1.0,1,1.0,1,0.0423280423280423,1,0.0423280423280423
nary_eltwise_layers.MUT186.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::nary_forward_impl(const Functor & f, const T scale, int ninputs, int ndims, const int & shape, const char ** inp, char * out, const int & steps, int & ptrs)#444",3,377,610,138,20,0,20,106062,27,1094,1,0.2401922307076306,1094,0.0,1,0.0424425523128501,1094,0.0
